date;symbol;open;high;low;close
08/08/2021 00:00;BTC/USD;4462440;4535500;4329884;4385842
07/08/2021 00:00;BTC/USD;4285709;4476314;4225100;4461294
06/08/2021 00:00;BTC/USD;4089377;4338100;3987947;4285659
05/08/2021 00:00;BTC/USD;3974277;4140196;3730000;4089467
04/08/2021 00:00;BTC/USD;3817375;3997394;3748100;3974112
03/08/2021 00:00;BTC/USD;3915752;3979283;3763900;3817707
02/08/2021 00:00;BTC/USD;3987520;4045931;3868762;3916555
01/08/2021 00:00;BTC/USD;4148916;4261485;3942427;3983900
31/07/2021 00:00;BTC/USD;4223672;4241132;4100751;4149013
30/07/2021 00:00;BTC/USD;4004521;4233550;3833137;4223489
29/07/2021 00:00;BTC/USD;4002480;4066280;3923995;4003751
28/07/2021 00:00;BTC/USD;3944694;4092753;3878680;4003632
27/07/2021 00:00;BTC/USD;3727144;3953950;3638619;3947541
26/07/2021 00:00;BTC/USD;3543893;4058130;3528270;3729124
25/07/2021 00:00;BTC/USD;3430186;3544897;3387403;3542828
24/07/2021 00:00;BTC/USD;3368500;3453432;3341931;3430178
23/07/2021 00:00;BTC/USD;3230698;3368417;3200000;3368417
22/07/2021 00:00;BTC/USD;3211582;3260983;3170315;3230088
21/07/2021 00:00;BTC/USD;2979299;3287542;2950000;3213845
20/07/2021 00:00;BTC/USD;3082208;3106862;2929639;2978658
19/07/2021 00:00;BTC/USD;3179449;3188171;3040000;3082929
18/07/2021 00:00;BTC/USD;3150933;3244098;3110000;3177665
17/07/2021 00:00;BTC/USD;3137630;3195000;3117666;3152968
16/07/2021 00:00;BTC/USD;3188570;3226453;3101293;3138817
15/07/2021 00:00;BTC/USD;3281868;3317900;3112157;3184865
14/07/2021 00:00;BTC/USD;3273756;3311172;3158935;3282355
13/07/2021 00:00;BTC/USD;3309153;3334000;3219000;3272800
12/07/2021 00:00;BTC/USD;3426684;3467700;3266000;3310500
11/07/2021 00:00;BTC/USD;3352148;3463582;3333549;3425853
10/07/2021 00:00;BTC/USD;3383073;3426104;3301421;3351760
09/07/2021 00:00;BTC/USD;3289294;3411544;3228573;3382643
08/07/2021 00:00;BTC/USD;3385833;3394302;3210100;3289879
07/07/2021 00:00;BTC/USD;3423195;3505902;3380000;3388247
